user_id,country,current_role,kaggle_tier,years_experience,hours_spent_weekly,gold_medals,silver_medals,datasets_shared,competitions_entered,follower_count,github_link,portfolio_score,total_certifications,monthly_recruiter_pings,salary_usd,experience_years
KAG_2026_10000,India,Researcher,Expert,11,30,2,3,16,26,237,1,57,6,12,101507.0,11.0
KAG_2026_10001,USA,Data Scientist,Contributor,4,18,0,6,6,16,200,1,25,9,5,142205.0,4.0
KAG_2026_10002,India,Student,Contributor,2,10,0,3,11,20,170,1,26,2,4,0.0,2.0
KAG_2026_10003,India,Data Analyst,Master,18,46,6,29,21,58,1063,1,87,3,20,104064.0,18.0
KAG_2026_10004,Nigeria,ML Engineer,Contributor,6,10,0,6,14,10,230,1,29,3,5,73990.0,6.0
KAG_2026_10005,India,ML Engineer,Expert,19,24,3,9,17,33,487,1,72,9,15,136827.0,19.0
KAG_2026_10006,Germany,Student,Novice,0,8,0,0,0,15,8,0,6,1,0,0.0,0.0
KAG_2026_10007,USA,Data Scientist,Contributor,10,16,0,1,9,7,80,1,36,4,7,183025.0,10.0
KAG_2026_10008,India,Student,Novice,2,11,0,0,2,5,5,1,10,2,0,0.0,2.0
KAG_2026_10009,USA,Data Scientist,Master,18,44,19,24,24,58,978,1,92,8,26,201648.0,18.0
KAG_2026_10010,UK,ML Engineer,Expert,7,30,1,4,16,26,235,1,43,6,10,145595.0,7.0
KAG_2026_10011,UK,Student,Novice,1,6,0,0,9,11,8,0,12,2,0,0.0,1.0
KAG_2026_10012,USA,Student,Expert,0,33,2,8,18,26,374,1,35,3,9,0.0,0.0
KAG_2026_10013,India,Data Scientist,Contributor,11,10,0,1,14,21,334,0,42,5,7,93698.0,11.0
KAG_2026_10014,India,Student,Novice,1,2,0,0,0,5,13,1,3,2,0,0.0,1.0
KAG_2026_10015,Spain,ML Engineer,Contributor,19,12,0,4,6,9,434,1,48,7,9,158695.0,19.0
KAG_2026_10016,USA,Data Scientist,Contributor,5,9,0,3,14,8,186,0,36,5,5,146914.0,5.0
KAG_2026_10017,Japan,Data Analyst,Expert,14,31,3,3,16,37,261,1,61,10,13,110607.0,14.0
KAG_2026_10018,Germany,Data Analyst,Grandmaster,19,52,13,18,22,114,2651,1,97,6,28,148851.0,19.0
KAG_2026_10019,Nigeria,ML Engineer,Contributor,10,20,0,8,8,10,151,1,32,5,7,76614.0,10.0
KAG_2026_10020,USA,Data Analyst,Novice,4,3,0,0,0,4,13,1,6,10,1,77206.0,4.0
KAG_2026_10021,UK,Data Scientist,Expert,4,32,2,6,15,33,413,1,39,4,10,120171.0,4.0
KAG_2026_10022,France,Student,Contributor,0,9,0,3,8,20,56,1,15,1,4,0.0,0.0
KAG_2026_10023,USA,Data Scientist,Expert,8,31,2,5,12,36,265,1,43,9,11,163970.0,8.0
KAG_2026_10024,India,Student,Novice,1,9,0,0,5,10,7,1,3,1,0,12455.0,1.0
KAG_2026_10025,India,Data Scientist,Contributor,19,13,0,9,10,5,209,1,55,9,9,129282.0,19.0
KAG_2026_10026,Brazil,Researcher,Expert,10,27,1,4,10,23,549,1,58,10,11,86919.0,10.0
KAG_2026_10027,Nigeria,ML Engineer,Expert,20,20,2,6,14,29,202,1,68,5,15,121435.0,20.0
KAG_2026_10028,Spain,ML Engineer,Master,19,46,24,25,16,57,957,1,94,4,29,160980.0,19.0
KAG_2026_10029,India,Data Scientist,Expert,8,29,4,5,10,28,150,1,53,11,12,92174.0,8.0
KAG_2026_10030,USA,Student,Contributor,0,12,0,7,9,20,286,0,27,1,4,9249.0,0.0
KAG_2026_10031,Canada,Student,Novice,0,4,0,0,3,17,9,1,11,3,0,0.0,0.0
KAG_2026_10032,India,Researcher,Expert,13,34,4,2,13,24,399,1,60,7,13,122795.0,13.0
KAG_2026_10033,India,Researcher,Master,20,42,6,26,18,65,977,1,89,9,21,148649.0,20.0
KAG_2026_10034,USA,Researcher,Master,9,45,5,17,24,50,1084,1,72,4,17,173635.0,9.0
KAG_2026_10035,USA,Data Analyst,Novice,19,7,0,0,9,17,9,0,40,4,5,137312.0,19.0
KAG_2026_10036,USA,ML Engineer,Expert,21,23,1,5,18,23,506,1,71,9,14,239428.0,21.0
KAG_2026_10037,France,Student,Contributor,1,20,0,8,11,11,307,1,20,1,4,0.0,1.0
KAG_2026_10038,Canada,Student,Novice,0,5,0,0,8,20,10,1,12,2,0,5395.0,0.0
KAG_2026_10039,Brazil,Student,Novice,1,9,0,0,2,20,4,0,15,3,0,9491.0,1.0
KAG_2026_10040,UK,ML Engineer,Grandmaster,21,59,17,30,29,116,2897,1,100,10,30,210363.0,21.0
KAG_2026_10041,India,Researcher,Expert,21,26,2,1,15,29,290,1,75,10,15,132232.0,21.0
KAG_2026_10042,India,Data Scientist,Expert,8,25,3,8,10,25,294,1,46,6,11,101046.0,8.0
KAG_2026_10043,Spain,ML Engineer,Expert,15,33,3,3,16,26,322,1,56,7,14,130603.0,15.0
KAG_2026_10044,India,Data Analyst,Contributor,10,19,0,1,7,11,229,1,41,10,7,66398.0,10.0
KAG_2026_10045,USA,Student,Novice,1,5,0,0,4,12,10,0,5,2,0,0.0,1.0
KAG_2026_10046,Canada,Student,Contributor,0,12,0,1,9,18,298,0,20,1,4,0.0,0.0
KAG_2026_10047,India,ML Engineer,Contributor,10,18,0,8,14,8,67,1,31,11,7,86748.0,10.0
KAG_2026_10048,Spain,Student,Novice,0,12,0,0,2,13,1,1,5,4,0,0.0,0.0
KAG_2026_10049,Nigeria,Data Analyst,Master,17,45,5,27,15,50,1081,1,77,6,19,102742.0,17.0
KAG_2026_10050,Spain,Data Scientist,Expert,4,26,3,1,14,28,346,1,42,3,10,109719.0,4.0
KAG_2026_10051,Spain,Researcher,Master,9,48,23,26,19,59,1165,1,78,11,26,131614.0,9.0
KAG_2026_10052,USA,ML Engineer,Contributor,19,16,0,8,11,6,201,1,52,9,9,211488.0,19.0
KAG_2026_10053,India,Student,Contributor,0,11,0,7,9,21,105,1,28,2,4,0.0,0.0
KAG_2026_10054,UK,Data Analyst,Novice,3,14,0,0,2,15,3,1,5,3,0,56127.0,3.0
KAG_2026_10055,Nigeria,Data Analyst,Expert,8,20,4,1,19,29,489,1,55,5,12,64716.0,8.0
KAG_2026_10056,Spain,Researcher,Expert,14,34,1,7,16,34,523,1,61,4,12,142416.0,14.0
KAG_2026_10057,USA,ML Engineer,Contributor,5,11,0,3,7,22,131,0,26,4,5,158517.0,5.0
