canonical_skill,aliases
python,python
sql,"sql, mysql, postgresql, postgres"
excel,"excel, spreadsheet"
power bi,"power bi, powerbi"
tableau,tableau
r," r , r language"
machine learning,"machine learning, ml"
deep learning,deep learning
nlp,"nlp, natural language processing"
aws,"aws, amazon web services"
azure,"azure, microsoft azure"
gcp,"gcp, google cloud"
spark,"spark, apache spark"
hadoop,hadoop
git,"git, github, gitlab"
docker,docker
linux,"linux, unix"
statistics,"statistics, statistical analysis"
communication,"communication, presentation, stakeholder communication"
leadership,"leadership, team management"
problem solving,"problem solving, analytical thinking"
prompt engineering,"prompt engineering, llm prompting, generative ai, genai"
