course,job_profession,student,linguistic,musical,bodily,logical_mathematical,spatial_visualization,interpersonal,intrapersonal,naturalist,s_p,p1,p2,p3,p4,p5,p6,p7,p8,student_id,target_profession
,"Astronomer
",S1,11,5,12,16,17,11,18,19,s1,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_0,astronomer
,"Astronomer
",S2,12,6,12,16,16,11,18,19,s2,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_1,astronomer
,"Astronomer
",S3,13,7,12,16,15,11,18,19,s3,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_2,astronomer
,"Astronomer
",S4,14,8,12,16,19,11,18,19,s4,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_3,astronomer
,"Astronomer
",S5,13,9,12,16,20,11,19,19,s5,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_4,astronomer
,"Astronomer
",S6,12,8,12,16,17,11,19,19,s6,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_5,astronomer
,"Astronomer
",S7,11,7,12,16,16,11,19,19,s7,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_6,astronomer
,"Astronomer
",S8,14,6,12,16,15,11,19,19,s8,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_7,astronomer
,"Astronomer
",S9,11,5,12,16,19,11,19,19,s9,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_8,astronomer
,"Astronomer
",S10,12,5,13,16,20,12,19,19,s10,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_9,astronomer
,"Astronomer
",S11,13,6,13,16,17,12,19,19,s11,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_10,astronomer
,"Astronomer
",S12,14,7,13,16,16,12,19,19,s12,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_11,astronomer
,"Astronomer
",S13,13,8,13,17,15,12,19,19,s13,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_12,astronomer
,"Astronomer
",S14,12,9,13,17,19,12,19,19,s14,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_13,astronomer
,"Astronomer
",S15,11,8,13,17,20,12,19,18,s15,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_14,astronomer
,"Astronomer
",S16,14,7,13,17,15,12,19,18,s16,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,student_15,astronomer
